dmr,C3,C4,C7.1,C7.2,C9.1,C9.2,C10,C11.1,C11.2,P2,P4,P7,P8,P9,P10,P11,,,,,,,,,,,,,,,,,,
DMR_up_1048,-0.020860454,-0.007366931,-0.000103246,-0.017782721,0.021377422,0.005114686,-0.003937041,0.013878043,-0.011180212,0.346029532,0.300859892,0.248938587,0.19314222,0.27713926,0.283219542,0.466255638,,,,,,,,,,,,,,,,,,
DMR_up_1049,0.00098948,0.026184271,0.009288147,-0.022124209,0.015940244,-0.026213443,-0.01328889,0.00313072,0.007083163,0.469572805,0.406222291,0.328384757,0.253543617,0.380468986,0.357417629,0.567943147,,,,,,,,,,,,,,,,,,
DMR_up_105,-0.000237761,-0.048105941,-0.006410805,-0.006927216,0.007864799,-0.019423511,0.039214597,0.023215805,0.010572269,0.351606959,0.238465901,0.237025236,0.200197245,0.20155638,0.236518638,0.389217581,,,,,,,,,,,,,,,,,,
DMR_up_1050,0.0124243,-0.01345408,0.006996641,-0.003309208,0.004413835,0.002456165,0.011459297,-0.002557353,-0.006005294,0.394402279,0.287196247,0.221649167,0.112244024,0.308980062,0.292106416,0.512011587,,,,,,,,,,,,,,,,,,
DMR_up_1051,-0.029367034,0.081251954,0.058467539,-0.077017687,-0.007974479,-0.074795913,-0.023084045,0.071397618,-0.02824499,0.406264242,0.296671226,0.282561238,0.212419232,0.293572038,0.211231788,0.486786203,,,,,,,,,,,,,,,,,,
DMR_up_1052,-0.027574466,-0.004295494,0.005744908,-0.018393845,-0.004589892,-0.00765681,0.006499796,0.020192253,0.002499084,0.423967946,0.248327554,0.242307204,0.213966601,0.213148646,0.361301453,0.483532516,,,,,,,,,,,,,,,,,,
DMR_up_1053,-0.010842659,-0.051088033,-0.000759383,-0.027466316,0.002375715,0.04960714,0.042423314,0.012159138,-0.027251575,0.361783244,0.318260764,0.234392585,0.231154956,0.308609111,0.270243108,0.417733421,,,,,,,,,,,,,,,,,,
DMR_up_1054,-0.019342149,-0.003755001,-0.014013296,0.029810789,0.01125194,-0.013089637,0.043389449,-0.067177664,0.013583417,0.505277831,0.306408976,0.229207189,0.148143598,0.426998517,0.256125447,0.524655234,,,,,,,,,,,,,,,,,,
DMR_up_1055,-0.013095314,0.077685637,0.050754469,0.018107233,-0.111778306,0.052705637,-0.04897693,-0.005975743,-0.032521999,0.320185445,0.314930013,0.254064512,0.201230561,0.242944758,0.25798111,0.421554698,,,,,,,,,,,,,,,,,,
DMR_up_1056,0.005863315,-0.01295861,0.01699559,-0.000731692,-0.01014129,-0.014873317,0.025412567,-0.004662181,0.000958932,0.371499881,0.280012706,0.213732466,0.185065466,0.243349372,0.284659449,0.513507598,,,,,,,,,,,,,,,,,,
DMR_up_1057,-0.040641836,-0.014025295,0.021228413,-0.010253085,-0.00607456,-0.036196407,0.000492144,0.026767878,0.01806091,0.338710614,0.30445925,0.25905084,0.175846736,0.274209036,0.277816409,0.457032663,,,,,,,,,,,,,,,,,,
DMR_up_1058,-0.010339839,0.018669981,-0.010383559,-0.000492752,-0.006324051,-0.014939544,0.00361441,0.005275002,0.004580512,0.344863592,0.318302799,0.247118472,0.214211504,0.281068223,0.308244212,0.478796103,,,,,,,,,,,,,,,,,,
DMR_up_1059,-0.006763976,-0.004402889,-0.004060348,-0.022857325,0.021578506,0.123058513,-0.077960697,0.018623752,-0.053979511,0.476876863,0.354231725,0.30209611,0.175424983,0.328193225,0.366132867,0.447261597,,,,,,,,,,,,,,,,,,
DMR_up_106,-0.021901173,-0.00395359,0.029973007,-0.009239582,-0.020420317,-0.032592822,0.027283548,0.007927272,0.001022483,0.318218174,0.271008377,0.209777607,0.173964979,0.241775413,0.261745499,0.384457788,,,,,,,,,,,,,,,,,,
DMR_up_1060,-0.000144761,0.017142656,-0.00593195,-0.021074532,0.007474247,-0.010562338,0.000764699,0.015218256,-0.003031039,0.416854193,0.485428136,0.410890946,0.295758262,0.482743466,0.436595138,0.603179015,,,,,,,,,,,,,,,,,,
DMR_up_1061,0.047563572,-0.03480798,0.030866889,-0.003674869,0.027083322,-0.034574686,0.016295024,0.020684275,-0.021871972,0.364135232,0.314696038,0.269838662,0.207808145,0.27432191,0.273394359,0.466259837,,,,,,,,,,,,,,,,,,
DMR_up_1062,0.000825138,-0.009985105,-0.016605697,-0.037223785,-0.000384177,0.109469142,-0.021841076,0.004672979,-0.028102279,0.363314053,0.268764577,0.237740319,0.236051728,0.264089859,0.26730612,0.443232286,,,,,,,,,,,,,,,,,,
DMR_up_1063,-0.04569082,0.009879767,-0.017777921,-0.01704693,-0.016175667,-0.014503162,0.02019184,0.020457799,0.014974273,0.323298393,0.275766542,0.251217203,0.21813324,0.255889255,0.279133339,0.419958758,,,,,,,,,,,,,,,,,,
DMR_up_1064,-0.030186913,0.072501672,0.053194828,-0.017413421,-0.043682319,-0.062623353,0.005627322,0.00045745,-0.008062179,0.352730478,0.291256958,0.237397548,0.121548281,0.245788098,0.326406515,0.503269172,,,,,,,,,,,,,,,,,,
DMR_up_1065,-0.022218803,-0.023350745,0.012947047,0.001806999,-0.003637132,0.032577502,0.012596646,-0.012553621,-0.020386699,0.5513078,0.362087797,0.231394464,0.213367287,0.312403667,0.318592668,0.432176206,,,,,,,,,,,,,,,,,,
DMR_up_1066,-0.041053448,-0.009596794,0.001545496,3.77E-05,9.20E-05,0.009338576,0.000860185,0.001874344,-0.004151518,0.528064452,0.338172286,0.244230523,0.081794677,0.166650414,0.29943302,0.785808923,,,,,,,,,,,,,,,,,,
DMR_up_1067,-0.012432187,0.002716502,-0.010888583,-0.019645791,-0.009787745,0.014799899,0.016569352,-0.018039399,0.024275762,0.483453854,0.448158857,0.162409353,0.116002676,0.283235122,0.318743221,0.688806007,,,,,,,,,,,,,,,,,,
DMR_up_1068,-0.021023021,-0.007075753,-0.012074131,-0.023061541,-0.018357728,-0.004189806,0.037164855,0.00535748,0.022236622,0.361521408,0.249973254,0.255159875,0.181642633,0.27517583,0.291311933,0.472942562,,,,,,,,,,,,,,,,,,
DMR_up_1069,-0.037755762,0.003750052,0.016506396,-0.009972497,-0.025331238,-0.009225484,0.028118104,0.004002212,-0.007847546,0.363940915,0.311172284,0.233036436,0.219847019,0.282893976,0.253696859,0.543412408,,,,,,,,,,,,,,,,,,
DMR_up_107,-0.016816558,-0.002036432,-0.019090054,0.000308288,-0.002208882,-0.028398649,0.006643191,0.017220533,0.027562007,0.317872968,0.261041684,0.198464527,0.163719833,0.201789583,0.251900266,0.448970416,,,,,,,,,,,,,,,,,,
DMR_up_1070,0.010979139,-0.018956233,0.005174552,0.022702792,-0.015591827,0.01686729,0.00258626,-0.00255784,-0.010224997,0.404149724,0.298346331,0.26838095,0.186953602,0.282048478,0.296369389,0.463055285,,,,,,,,,,,,,,,,,,
DMR_up_1071,-0.049587016,0.047803585,-0.00628417,-0.017258154,-0.018298339,-0.035945756,0.031024111,0.003940826,-0.004982102,0.568887385,0.491182598,0.446785969,0.313412586,0.483206074,0.498872601,0.635707577,,,,,,,,,,,,,,,,,,
DMR_up_1072,-0.048158213,0.001922546,-0.000989004,-0.022799797,-0.011835922,0.04243718,0.016354238,0.004405559,-0.0294948,0.499328451,0.426233915,0.308848283,0.238563318,0.384808055,0.383948433,0.599095522,,,,,,,,,,,,,,,,,,
DMR_up_1073,0.010592716,0.040062653,0.022134739,-0.014650024,-0.03171668,-0.035871487,0.011247225,-0.016272739,0.025066316,0.381413267,0.312817179,0.21328984,0.177092459,0.239054794,0.32994225,0.521036776,,,,,,,,,,,,,,,,,,
DMR_up_1074,0.011573295,0.004560933,0.021529574,-0.041068122,-0.018555206,-0.023887172,0.028775414,-0.003722822,0.032367403,0.385120344,0.304593002,0.280364849,0.207604593,0.242431465,0.27706051,0.504520869,,,,,,,,,,,,,,,,,,
DMR_up_1075,-0.012276438,-0.012567291,0.004453626,0.019149076,-0.00981201,-0.003336005,-0.005073421,0.014283362,-0.007097336,0.405178008,0.258011185,0.227086112,0.150334823,0.200220057,0.246396083,0.507773173,,,,,,,,,,,,,,,,,,
DMR_up_1076,0.019933376,-0.035442187,0.011009592,-0.008274608,0.007734008,0.003117582,0.014684531,0.006478657,0.000692422,0.350842657,0.280027844,0.233566822,0.152897783,0.274906412,0.282054315,0.467948532,,,,,,,,,,,,,,,,,,
DMR_up_1077,-0.045327723,-0.022255609,0.018787258,-0.016432815,0.01081619,0.000270522,0.018901317,0.01151163,-0.021598493,0.430946877,0.297161579,0.222531197,0.155214753,0.241470539,0.274023165,0.4843303,,,,,,,,,,,,,,,,,,
DMR_up_1078,0.001843601,0.036338859,-0.016810852,-0.055876455,-0.003087009,0.043621862,-0.040774156,0.024908876,0.011678874,0.393813314,0.311652639,0.225329916,0.213072175,0.300042177,0.303267439,0.388335886,,,,,,,,,,,,,,,,,,
DMR_up_1079,-0.050141228,-0.007232412,0.023665239,-0.017099318,0.01814202,0.001531612,0.03989003,-0.00124624,-0.057650928,0.417346915,0.341332954,0.273906657,0.225951596,0.325369459,0.307023526,0.409323334,,,,,,,,,,,,,,,,,,
DMR_up_108,-0.00918259,-0.026222314,0.009228785,0.003677356,0.010423316,0.003148443,0.008421672,-0.001658238,-0.00701902,0.409410451,0.159722479,0.096974667,0.10005879,0.268520703,0.326346229,0.580847458,,,,,,,,,,,,,,,,,,
DMR_up_1080,0.028186965,-0.017940671,0.01549531,-0.006411129,-0.002439406,-0.001883633,0.018718529,-0.005642178,0.000103176,0.395438889,0.287302894,0.202089146,0.106718288,0.201127739,0.31127393,0.639463983,,,,,,,,,,,,,,,,,,
DMR_up_1081,-0.002655248,-0.023001492,0.017364293,0.003085698,0.006859736,0.000190524,0.011243782,-0.006495453,-0.009247088,0.321208705,0.336610668,0.280487786,0.199520064,0.285364795,0.267108637,0.497791722,,,,,,,,,,,,,,,,,,
DMR_up_1082,-0.027404967,0.027181023,-0.029544276,0.021418327,-0.016100263,-0.045186721,0.070932299,-0.010805296,-0.017895095,0.349789246,0.299188837,0.217976656,0.211860396,0.301511234,0.287215832,0.422965352,,,,,,,,,,,,,,,,,,
DMR_up_1083,0.003457227,0.011319762,0.014410608,-0.034889958,-0.027781839,-0.006829634,0.064628705,-0.031237878,0.010380233,0.485640248,0.397941409,0.30453324,0.173446978,0.297517016,0.382348543,0.644280374,,,,,,,,,,,,,,,,,,
